,med_scores,record_idx,f1_scores
80844,16.5,15177,1.0
80846,16.0,15178,1.0
80848,16.0,15178,1.0
80850,15.5,15179,1.0
80852,15.5,15179,1.0
80854,15.5,15179,1.0
80856,15.0,15180,1.0
80858,15.0,15180,1.0
80860,17.333333333333332,15181,1.0
80862,17.333333333333332,15181,0.6666666666666666
80864,14.444444444444445,15182,0.6666666666666666
80866,14.11111111111111,15182,0.6666666666666666
80868,14.0,15182,1.0
80870,25.555555555555557,15183,1.0
80872,25.555555555555557,15183,1.0
80874,15.777777777777779,15184,1.0
80876,20.333333333333332,15184,0.0
80878,18.22222222222222,15184,0.6666666666666666
80880,19.333333333333332,15185,1.0
80882,19.333333333333332,15185,1.0
80884,19.333333333333332,15185,1.0
80886,28.666666666666668,15186,1.0
80888,32.166666666666664,15186,0.5714285714285715
80890,29.77777777777778,15187,0.6666666666666666
80892,27.88888888888889,15187,0.6666666666666666
80894,13.444444444444445,15188,0.3333333333333333
80896,34.0,15189,0.8
80898,32.22222222222222,15189,1.0
80900,32.888888888888886,15189,0.6666666666666666
80902,12.444444444444445,15190,1.0
80904,12.666666666666666,15190,0.3333333333333333
80906,12.555555555555555,15190,0.6666666666666666
80908,33.333333333333336,15191,1.0
80910,33.333333333333336,15191,1.0
80912,33.333333333333336,15191,1.0
80914,17.555555555555557,15192,1.0
80916,17.77777777777778,15192,0.6666666666666666
80918,17.555555555555557,15192,1.0
80920,17.77777777777778,15193,0.6666666666666666
80922,17.666666666666668,15193,0.6666666666666666
80924,17.666666666666668,15193,0.6666666666666666
80926,17.88888888888889,15194,0.6666666666666666
80928,16.0,15194,1.0
80930,15.555555555555555,15195,1.0
80932,15.555555555555555,15195,1.0
80934,15.555555555555555,15195,1.0
80936,21.333333333333332,15196,1.0
80938,21.333333333333332,15196,1.0
80940,23.77777777777778,15196,0.3333333333333333
80942,28.583333333333332,15197,0.8571428571428571
80944,29.11111111111111,15197,1.0
80946,35.44444444444444,15198,0.6666666666666666
80948,38.916666666666664,15198,0.28571428571428575
80950,35.44444444444444,15198,0.6666666666666666
80952,31.333333333333332,15199,0.8571428571428571
80954,31.333333333333332,15199,0.8571428571428571
80956,29.666666666666668,15199,0.6666666666666666
80958,26.77777777777778,15200,0.3333333333333333
80960,26.11111111111111,15200,0.6666666666666666
80962,21.0,15201,0.28571428571428575
80964,18.77777777777778,15201,0.6666666666666666
80966,18.444444444444443,15202,0.6666666666666666
80968,19.11111111111111,15202,1.0
80970,19.11111111111111,15202,1.0
80972,30.0,15203,0.8
80974,30.0,15203,0.8
80976,30.0,15203,0.8
80978,8.88888888888889,15204,1.0
80980,11.333333333333334,15204,0.6666666666666666
80982,8.88888888888889,15204,1.0
80984,21.555555555555557,15205,1.0
80986,21.555555555555557,15205,1.0
80988,21.555555555555557,15205,1.0
80990,15.666666666666666,15206,0.8
80992,15.777777777777779,15206,1.0
80994,21.444444444444443,15207,0.6666666666666666
80996,24.666666666666668,15207,0.8571428571428571
80998,25.333333333333332,15207,0.28571428571428575
81000,24.25,15208,0.5714285714285715
81002,21.77777777777778,15208,0.6666666666666666
81004,21.666666666666668,15208,0.6666666666666666
81006,14.222222222222221,15209,1.0
