,med_scores,record_idx,f1_scores
5978,21.25,15634,1.0
5980,21.375,15634,0.75
6006,22.5,14906,1.0
6008,28.5,14906,0.0
6010,22.5,14906,1.0
6044,35.0,15574,1.0
6126,15.666666666666666,15206,0.8
6128,15.777777777777779,15206,1.0
6140,18.0,15508,1.0
6142,18.0,15508,1.0
6144,18.0,15508,1.0
6218,21.32,15999,0.6
6220,20.12,15999,0.6
6222,20.6,15999,0.6666666666666665
6336,16.88888888888889,15258,1.0
6338,17.5,15258,0.8
6340,17.5,15258,0.8
6384,0.0,14788,1.0
6386,17.75,15622,1.0
6458,13.11111111111111,15487,0.6666666666666666
6460,11.777777777777779,15487,1.0
6462,11.777777777777779,15487,1.0
6694,16.333333333333332,15437,0.6666666666666666
6696,17.5,15437,0.5714285714285715
6698,16.77777777777778,15437,0.6666666666666666
6710,20.25,15646,0.8571428571428571
6712,26.75,15646,0.3333333333333333
6714,22.75,15646,0.5714285714285715
6716,28.0,14633,0.0
6718,0.0,14633,1.0
6748,21.833333333333332,15763,0.5714285714285715
6750,22.25,15763,0.8571428571428571
6776,18.833333333333332,15476,0.8571428571428571
6778,19.666666666666668,15476,0.3333333333333333
6780,19.75,15476,0.5714285714285715
6864,33.333333333333336,15191,1.0
6866,33.333333333333336,15191,1.0
6868,33.333333333333336,15191,1.0
6944,31.47222222222222,16064,0.8333333333333334
6946,29.166666666666668,16064,0.3333333333333333
6954,14.0,15118,1.0
6956,16.0,15118,0.0
6958,14.0,15118,1.0
7020,13.5,14991,1.0
7022,13.5,14991,1.0
7024,13.5,14991,1.0
7030,0.0,14668,1.0
7032,0.0,14668,1.0
7034,0.0,14668,1.0
7040,40.24,15842,1.0
7042,40.45,15842,0.888888888888889
7044,42.2,15842,0.4444444444444445
7058,28.56,15843,0.6
7060,28.28,15843,0.6
7062,27.0,15843,0.3636363636363636
7070,22.24,16046,1.0
7082,7.0,14636,0.0
7084,7.0,14636,0.0
7086,31.3125,15528,0.5
7088,29.9,15528,0.22222222222222224
7110,25.0,15998,0.8000000000000002
7112,26.6,15998,0.6666666666666665
7114,26.88,15998,0.6
7144,15.0,15994,0.6
7146,17.3,15994,0.0
7148,14.666666666666666,15994,0.3636363636363636
7244,32.1875,15748,0.25
7246,28.8125,15748,0.25
7248,25.65,15931,0.4444444444444445
7250,27.6,15931,0.8000000000000002
7252,27.68,15931,0.6
7266,11.5,15117,1.0
7268,11.5,15117,1.0
7270,11.5,15117,1.0
7280,29.77777777777778,15448,1.0
7282,29.77777777777778,15448,1.0
7284,29.77777777777778,15448,1.0
7392,10.0,15074,1.0
7394,10.5,15074,0.5
7396,10.5,15074,0.5
7444,13.666666666666666,15277,0.8
7446,12.88888888888889,15277,1.0
7450,20.875,15734,1.0
7452,23.916666666666668,15734,0.28571428571428575
7454,20.9375,15734,0.75
7456,25.5,15503,0.8
7458,26.444444444444443,15503,0.6666666666666666
7460,27.22222222222222,15503,0.6666666666666666
7546,11.75,15131,0.5
7548,11.75,15131,0.5
7580,34.583333333333336,15701,0.8571428571428571
7582,38.9375,15701,0.75
7584,35.333333333333336,15701,0.5714285714285715
7636,0.0,14709,1.0
7640,20.833333333333332,15725,0.8571428571428571
7642,21.6875,15725,0.0
7644,20.5,15725,1.0
7652,31.25,15812,0.5
7654,31.833333333333332,15812,0.28571428571428575
7656,31.1875,15812,0.5
7664,30.75,15709,0.25
7666,32.3125,15709,0.25
7668,31.0,15709,0.5714285714285715
7746,20.0,15511,1.0
7748,20.0,15511,1.0
7790,19.25,15730,0.75
7792,15.375,15730,1.0
7794,16.5,15730,0.5714285714285715
7822,29.333333333333332,15499,1.0
7824,29.77777777777778,15499,0.6666666666666666
7826,30.0,15499,0.8
7844,11.333333333333334,15247,1.0
7846,11.333333333333334,15247,1.0
7854,27.9,15533,0.6666666666666665
7856,28.0,15533,0.6666666666666665
7858,27.166666666666668,15533,0.5714285714285715
7860,9.0,15054,1.0
7862,9.0,15054,1.0
7864,9.0,15054,1.0
7878,11.75,14978,0.5
7880,12.5,14978,0.4
7926,27.444444444444443,15284,0.3333333333333333
7928,27.333333333333332,15284,0.6666666666666666
7970,10.75,14986,0.5
7972,10.5,14986,1.0
7974,11.0,14986,0.5
8016,17.875,15692,1.0
8018,18.875,15692,0.5
8020,17.9375,15692,0.5
8126,18.625,15780,1.0
8128,18.625,15780,1.0
8130,32.75,15780,0.0
8180,18.0,15029,1.0
8182,18.0,15029,1.0
8184,20.25,15029,0.0
8220,18.0,15889,0.4444444444444445
8222,18.0,15889,0.4444444444444445
8224,17.88,15889,0.4000000000000001
8258,26.35,16023,0.6666666666666665
8260,25.8,16023,0.6
8262,23.72,16023,0.20000000000000004
8436,0.0,14695,1.0
8438,0.0,14695,1.0
8458,22.1875,15772,0.75
8460,20.9375,15772,0.75
8462,24.0,15772,0.5
8506,0.0,14532,1.0
