,med_scores,record_idx,f1_scores
40662,16.0,15265,1.0
40663,16.0,15265,1.0
40664,23.77777777777778,15266,1.0
40665,23.77777777777778,15266,1.0
40666,23.77777777777778,15266,1.0
40667,18.88888888888889,15267,1.0
40668,18.88888888888889,15267,1.0
40669,18.88888888888889,15267,1.0
40670,14.666666666666666,15268,1.0
40671,14.666666666666666,15268,1.0
40672,14.666666666666666,15268,1.0
40673,19.77777777777778,15269,1.0
40674,19.77777777777778,15269,1.0
40675,19.77777777777778,15269,1.0
40676,19.166666666666668,15270,0.4
40677,17.333333333333332,15270,0.8
40678,17.5,15270,0.4
40679,20.0,15271,1.0
40680,20.0,15271,1.0
40681,20.555555555555557,15271,0.6666666666666666
40682,13.166666666666666,15272,0.8
40683,14.333333333333334,15272,0.8
40684,14.0,15272,1.0
40685,19.11111111111111,15273,1.0
40686,20.444444444444443,15273,0.6666666666666666
40687,20.0,15273,0.6666666666666666
40688,21.666666666666668,15274,0.8
40689,24.11111111111111,15274,0.0
40690,14.222222222222221,15275,1.0
40691,21.166666666666668,15275,0.0
40692,13.11111111111111,15276,1.0
40693,14.0,15276,0.6666666666666666
40694,13.88888888888889,15277,0.6666666666666666
40695,12.88888888888889,15277,1.0
40696,23.11111111111111,15278,1.0
40697,22.166666666666668,15278,0.4
40698,15.666666666666666,15279,0.6666666666666666
40699,15.88888888888889,15279,0.3333333333333333
40700,15.666666666666666,15279,0.6666666666666666
40701,17.77777777777778,15280,0.6666666666666666
40702,20.11111111111111,15280,0.6666666666666666
40703,17.444444444444443,15280,0.3333333333333333
40704,19.77777777777778,15281,0.6666666666666666
40705,16.555555555555557,15281,0.3333333333333333
40706,20.166666666666668,15282,0.4
40707,20.166666666666668,15282,0.4
40708,18.555555555555557,15283,0.3333333333333333
40709,17.0,15283,0.6666666666666666
40710,31.583333333333332,15284,0.28571428571428575
40711,50.166666666666664,15284,0.0
40712,30.833333333333332,15285,0.4
40713,24.22222222222222,15285,1.0
40714,27.22222222222222,15285,0.3333333333333333
40715,24.22222222222222,15286,0.6666666666666666
40716,23.77777777777778,15286,1.0
40717,26.77777777777778,15286,0.6666666666666666
40718,32.0,15287,0.3333333333333333
40719,38.77777777777778,15287,0.0
